"x","y"
0.000000,0.000000
0.000100,0.000113
0.000200,0.000226
0.000300,0.000339
0.000400,0.000451
0.000500,0.000564
0.000600,0.000677
0.000700,0.000790
0.000800,0.000903
0.000900,0.001016
0.001000,0.001128
0.001100,0.001241
0.001200,0.001354
0.001300,0.001467
0.001400,0.001580
0.001500,0.001693
0.001600,0.001805
0.001700,0.001918
0.001800,0.002031
0.001900,0.002144
0.002000,0.002257
0.002100,0.002370
0.002200,0.002482
0.002300,0.002595
0.002400,0.002708
0.002500,0.002821
0.002600,0.002934
0.002700,0.003047
0.002800,0.003159
0.002900,0.003272
0.003000,0.003385
0.003100,0.003498
0.003200,0.003611
0.003300,0.003724
0.003400,0.003836
0.003500,0.003949
0.003600,0.004062
0.003700,0.004175
0.003800,0.004288
0.003900,0.004401
0.004000,0.004513
0.004100,0.004626
0.004200,0.004739
0.004300,0.004852
0.004400,0.004965
0.004500,0.005078
0.004600,0.005191
0.004700,0.005303
0.004800,0.005416
0.004900,0.005529
0.005000,0.005642
0.005100,0.005755
0.005200,0.005868
0.005300,0.005980
0.005400,0.006093
0.005500,0.006206
0.005600,0.006319
0.005700,0.006432
0.005800,0.006545
0.005900,0.006657
0.006000,0.006770
0.006100,0.006883
0.006200,0.006996
0.006300,0.007109
0.006400,0.007222
0.006500,0.007334
0.006600,0.007447
0.006700,0.007560
0.006800,0.007673
0.006900,0.007786
0.007000,0.007899
0.007100,0.008011
0.007200,0.008124
0.007300,0.008237
0.007400,0.008350
0.007500,0.008463
0.007600,0.008576
0.007700,0.008688
0.007800,0.008801
0.007900,0.008914
0.008000,0.009027
0.008100,0.009140
0.008200,0.009253
0.008300,0.009365
0.008400,0.009478
0.008500,0.009591
0.008600,0.009704
0.008700,0.009817
0.008800,0.009929
0.008900,0.010042
0.009000,0.010155
0.009100,0.010268
0.009200,0.010381
0.009300,0.010494
0.009400,0.010606
0.009500,0.010719
0.009600,0.010832
0.009700,0.010945
0.009800,0.011058
0.009900,0.011171
0.010000,0.011283
0.010100,0.011396
0.010200,0.011509
0.010300,0.011622
0.010400,0.011735
0.010500,0.011848
0.010600,0.011960
0.010700,0.012073
0.010800,0.012186
0.010900,0.012299
0.011000,0.012412
0.011100,0.012524
0.011200,0.012637
0.011300,0.012750
0.011400,0.012863
0.011500,0.012976
0.011600,0.013089
0.011700,0.013201
0.011800,0.013314
0.011900,0.013427
0.012000,0.013540
0.012100,0.013653
0.012200,0.013766
0.012300,0.013878
0.012400,0.013991
0.012500,0.014104
0.012600,0.014217
0.012700,0.014330
0.012800,0.014442
0.012900,0.014555
0.013000,0.014668
0.013100,0.014781
